A Arnoia		42 14 54.95 N	8 08 04.88 W
Viana do Bolo		42 10 46.42 N	7 06 44.8 W
Vigo	Vigo is a Spanish municipality and the largest city in Galicia.	42 14 00.05 N	8 42 37.59 W
Vilagarcía de Arousa		42 35 33.08 N	8 46 36.13 W
Vilamarín	Vilamarín is a municipality in Galicia, in the province of Ourense.	42 27 51.29 N	7 53 23.64 W
Vilanova de Arousa	Vilanova de Arousa is a municipality in Galicia, Spain in the province of Pontevedra.	42 33 48.42 N	8 49 26.69 W
Vilar de Santos	Vilar de Santos is a municipality in Galicia, in the province of Ourense.	42 05 10.72 N	7 47 44.37 W
Vilardevós		41 54 25.21 N	7 18 45.37 W
Vilariño de Conso		42 09 56.5 N	7 11 02.5 W
Vilasobroso, Mondariz		42 12 17.3 N	8 27 20.51 W
Vilassar de Mar	Vilassar de Mar is a village in the county of the Maresme, Catalonia.	41 30 19 N	2 23 34 E
Villa Berg		48 47 31.34 N	9 12 27.17 E
Villa d'Este (Tivoli)	The Villa d'Este in Tivoli is a masterpiece of Italian architecture and garden design.	41 57 45 N	12 47 46 E
Villa Schneider	Villa Schneider è un palazzo storico di Biella (Piemonte, Italia), servito come quartier generale delle SS durante la seconda guerra mondiale.	45 33 49.52 N	8 03 04.87 E
Village Vanguard	The Village Vanguard is a jazzclub in Greenwich Village (New York City).	40 44 09.64 N	74 00 05.81 W
Villeneuve-d'Ascq	Villeneuve-d'Ascq is a commune within Lille Metropolis, in northern France	50 37 24 N	3 08 42 E
Wakayama prefecture	Wakayama Prefecture is located in the Kinki Region of the island of Honshu, Japan.	34 13 33.7 N	135 10 03 E
Walhalla, Victoria		37 56 37.43 S	146 27 02.75 E
Walt Disney Concert Hall		34 03 19.36 N	118 14 59.61 W
Wayside Cross Villenstraße, Bonn-Dottendorf		50 42 15.73 N	7 06 43.18 E
Weckschnapp		50 56 57.48 N	6 57 55.5 E
West Lake		30 15 00 N	120 09 00 E
Whitemarsh Hall		40 04 42 N	75 07 44 W
Wild fire area at lake Norra Hörken	Norra Hörken is a lake situated between Ludvika and Ljusnarsberg municipalities in central Sweden. This gallery page shows some ecological aspects of a small wildfire in a rather typical Scandinavian forest.	60 02 30 N	14 54 37 E
Wilhelmsstift Tübingen		48 31 16.19 N	9 03 18.52 E
Woodlawn Cemetery (Bronx)	Gate on Jerome Avenue	40 53 30 N	73 52 12 W
Xinzo de Limia	Xinzo de Limia is a municipality in Galicia, in the province of Ourense.	42 03 36 N	7 43 19.87 W
Yad Vashem	The memorial of the murdered jews of Suwałki and the neighbour communities, Yad Vashem, Jerusalem	31 46 23.55 N	35 10 29.2 E
Yao	Yao (八尾市, Yao-shi) is a city in Osaka, Japan.	34 37 36.9 N	135 36 03 E
Zwangsarbeitslager Rees-Groin und Bienen		51 46 44.76 N	6 24 25.92 E
Zwehrenturm	The Zwehrenturm from 1330 is a remain of Kassel's medieval defensive wall. Temporary it contained an observatory.	51 18 49 N	9 29 54 E
École centrale de Lille	École Centrale de Lille is a graduate engineering school located in campus Lille I within Université Lille Nord de France.	50 36 21.62 N	3 08 13.63 E
Église de Saint-Paul de Frontignan		43 26 50.47 N	3 45 18.66 E
Église des Jésuites (Molsheim)		48 32 25.3 N	7 29 45 E
Église Notre-Dame (Guebwiller)		47 54 20.75 N	7 12 52.56 E
Église Saint-Michel d'Ernolsheim-lès-Saverne	Bells	48 47 27.85 N	7 22 47.57 E
Église Saint-Pierre-de-Rhèdes		43 35 16.22 N	3 04 43.64 E
Église Saint-Pierre-Saint-Paul de Rueil-Malmaison		48 52 35.4 N	2 10 53.15 E
Église Saints-Pierre-et-Paul (Andlau)		48 23 16.3 N	7 24 54.3 E
Église Saints-Pierre-et-Paul (Neuwiller-lès-Saverne)		48 49 25 N	7 24 20 E
Église Saints-Pierre-et-Paul (Wissembourg)		49 02 14 N	7 56 30 E
Église St Cyriaque (Altorf)		48 31 22.7 N	7 31 50 E
Église St Jean-Baptiste (Saint-Jean-Saverne)		48 46 18.7 N	7 21 48.5 E
Église St Léger (Guebwiller)		47 54 42.1 N	7 12 33.75 E
Église St Maurice (Ebersmunster)		48 18 39.5 N	7 31 37 E
Église St Pierre le Jeune catholique (Strasbourg)		48 35 18.35 N	7 44 55.75 E
Église St Pierre le Jeune protestante (Strasbourg)		48 35 08 N	7 44 47 E
Église St Thomas protestante (Strasbourg)		48 34 47 N	7 44 44 E
Église Ste Madeleine (Strasbourg)		48 34 48 N	7 45 17 E
Đình Bảng	Bảng Communal House (Đình Bảng in Vietnamese) is one of largest and finest village communal houses in Việt Nam. It is located in Đình Bảng commune, Từ Sơn district, Bắc Ninh province.	21 06 29.99 N	105 57 06.31 E
Боровск	Borovsk	55 12 27.19 N	36 29 05.05 E
กรุงเทพมหานคร	Bangkok	13 45 08 N	100 29 38 E
სვეტიცხოველი		41 50 31 N	44 43 16 E
ჯვარი		41 30 06.84 N	44 26 24.72 E
鹿児島市	Kagoshima（鹿児島市; -shi） is a city in Japan and the capital city of Kagoshima Prefecture.	31 35 48.5 N	130 33 25.7 E
薩摩川内市	Satsumasendai is a city in Kagoshima prefecture, Japan.	31 48 48.5 N	130 18 14.3 E
上海	Shanghai is the largest city in China and is divided into 18 districts and one county (the island in the Yangtze River). It is located on the coast of eastern China at the mouth of the Chang Jiang (Yangtze River), and borders the provinces of Jiangsu and Zhejiang.	31 10 00 N	121 29 00 E
中南海	Zhongnanhai (Chinese: 中南海; pinyin: Zhōngnánhăi) is a complex of buildings in Beijing, China which serves as the central headquarters for the Communist Party of China and the government of the People's Republic of China.	39 54 41 N	116 22 50 E
九寨沟	Jiuzhaigou Valley (Chinese: 九寨沟; pinyin: Jiǔzhàigōu; lit. "Nine Stockades Gully") is a nature reserve in Aba(阿坝) Tibetan and Qiang Autonomous District, northern Sichuan province, China. It is known for its many multi-level waterfalls and colorful lakes, and was declared a UNESCO World Heritage Site in 1992.	33 09 34 N	103 52 40 E
云南	Yunnan(云南) is a Chinese southwest border province, with the most varied nationalities in China. There are 52 nationalities of people living in Yunnan, out of 56 total throughout China.	25 03 00 N	101 52 00 E
京都市	Kyoto is a city in Japan. It was the capital of Japan from 794 to 1869.	35 00 41.8 N	135 46 05.2 E
兵馬俑	Terracotta Army	34 23 05.7 N	109 16 23.1 E
別府市	Beppu is a famous onsen city in Oita Prefecture on the island of Kyushu in Japan.	33 17 04.6 N	131 29 28.6 E
北九州市	Kitakyūshū is a city in Fukuoka Prefecture on the island of Kyushu, Japan.	33 53 00.3 N	130 52 30.7 E
北京动物园	beijing zoo lies west of Xizhimen and is the western part of the Beijing, China. It is one of the largest zoos in mainland china.	39 56 19 N	116 20 00 E
北海公园	中文: 北海公园位于中国北京市城区的中偏北部，故宫和景山的西北侧，始建于辽代，是世界上现存建园时间最早的皇家宫苑。	39 55 28 N	116 22 59 E
南京	Nanjing (南京) is the capital of Jiangsu Province of China. It was the Chinese capital from 1927-1949.	32 03 00 N	118 46 00 E
南法華寺	Minamihokke-ji is the Buddhist temple in Takatori, Nara prefecture, Japan.	34 25 35.1 N	135 48 35.5 E
台南市		22 59 00 N	120 11 00 E
和歌山市	Wakayama (和歌山市, Wakayama-shi) is the capital city of Wakayama Prefecture in the Kansai region of Japan.	34 13 49.3 N	135 10 14.7 E
四川	Sichuan(四川) is the most densely populated province in west China. It is famous for its peppery dishes.	30 08 00 N	102 56 00 E
圆明园	Yuanmingyuan (pinyin: Yuanmingyuan, 圆明园), or the old Summer Palace in Peking.	40 00 26 N	116 17 33 E
大津市	Otsu is a city in Japan. It was the capital of Japan from 667 to 672.	35 01 04.1 N	135 51 17 E
大阪市	Osaka	34 41 37.5 N	135 30 07.6 E
天坛	Temple of Heaven in Beijing.	39 52 56.1 N	116 24 23.7 E
天安門	Tiananmen (Gate of Heavenly Peace) in Beijing was the southern gate of the Imperial City in Beijing.	39 54 26.4 N	116 23 27.9 E
天安门广场	Mausoleum of Mao Zedong	39 54 12 N	116 23 30 E
宇治市	Uji is a city in Kyoto prefecture. The Byodoin (an ancient Buddhist temple) and the Ujigami Shrine are famous landmarks in Uji.	34 53 03.7 N	135 47 59.3 E
小田原市	Odawara, Kanagawa	35 15 52.6 N	139 09 08 E
屋久島	Yakushima island	30 20 00 N	130 30 00 E
川崎市	Kawasaki, Kanagawa	35 31 51.2 N	139 42 10.8 E
广东	Guangdong (广东) is a coastal province in southern China adjacent to Hongkong and Macao.	23 24 00 N	113 30 00 E
广州	Guangzhou is the capital of Guangdong Province in southern China. The city was formerly known internationally as Canton City or simply Canton.	23 07 43.67 N	113 15 32.31 E
広島市	Hiroshima is one of largest cities in Japan and the capital of Hiroshima prefecture.	34 23 06.9 N	132 27 19.1 E
徳島市	Tokushima is the capital city of Tokushima prefecture on the island of Kyushu in Japan.	34 04 13 N	134 33 17.8 E
成都	Chengdu is the capital of Sichuan province in China.	30 39 49 N	104 04 00 E
景山公园	Jingshan Park, Dongcheng District, Beijing.	39 55 24.5 N	116 23 26.2 E
杭州	Hangzhou (杭州) is a picturesque city in south China. It is the capital of Zhejiang Province and visited by Marco Polo.	30 15 00 N	120 10 00 E
武汉	Wuhan is the capital of the Chinese province of Hubei	30 34 21 N	114 16 45 E
滕王阁		28 41 02.76 N	115 52 32.88 E
熊本市	Kumamoto is the capital city of Kumamoto Prefecture, on the island of Kyushu, Japan.	32 48 10.8 N	130 42 28.3 E
相模原市	Sagamihara, Kanagawa	35 34 17.1 N	139 22 23.3 E
祇園	Gion (祇園) is a district of Kyoto, Japan, originally developed in the middle ages.	35 00 13 N	135 46 30 E
福岡市	Fukuoka, Fukuoka	33 35 24.5 N	130 24 06.2 E
紫禁城	The Forbidden City (紫禁城), located at the centre of Beijing, China, was the imperial palace of the last two imperial dynasties of China (from 1420 to 1924).	39 54 50.1 N	116 23 27.6 E
西安	Xi'an is an ancient city located in north central China. It was the capital of various dynasties from 1046 B.C. to 907 A.D, and it has been known under a number of different names including most notably Chang'an during the Tang dynasty.	34 16 00 N	108 57 00 E
逗子市	Zushi (逗子市 Zushi-shi) is a city located in Kanagawa, Japan.	35 17 44.2 N	139 34 49.2 E
那覇市		26 12 44.4 N	127 40 44.8 E
鎌倉	Zeniarai Benten shrine	35 19 09.3 N	139 32 48.1 E
颐和园	The Summer Palace (pinyin: Yiheyuan, 颐和园) is a former imperial palace in northwest of Beijing, China. It has been transformed in a public garden.	39 59 51 N	116 16 08.04 E
香港	Hong Kong	22 16 01 N	114 11 17 E
高松市	日本語: 高松市は日本の瀬戸内海沿岸に位置する香川県の県都である。四国の北端に位置することや本州に近いことから、港町として発展してきた歴史をもつ。	34 20 34.1 N	134 02 47.8 E
高雄市	Kaohsiung is a city in Taiwan.	22 38 00 N	120 16 00 E

